关键词,出现次数
杭州,316
小麦,163
现代化,150
麦田,134
麦子,128
城市,114
收割机,109
农业,92
四个现代化,89
水稻,78
实现,76
比心,76
收割,75
浙江,71
泣不成声,68
可以,63
高铁,62
流泪,58
粮食,57
成都,57
中国,55
高楼大厦,53
鼓掌,53
种麦子,52
高速,52
小时候,51
CBD,48
发展,48
农村,48
农田,47
泪奔,45
高楼,44
希望,42
北京,39
河南,39
微笑,37
种地,37
工业,34
旁边,33
这块,33
看看,32
农民,32
沃得,32
玫瑰,32
为什么,31
以前,31
是不是,31
这才,31
九转,30
大肠,30
和谐,30
小学,29
你们,28
萧山,28
这种,28
土地,28
大楼,27
觉得,26
田野,26
元宝,26
不能,25
感谢,25
灵机一动,24
后面,24
生活,24
一样,24
开发,24
居然,23
沃德,23
不让,23
喜欢,23
发呆,23
房子,23
一季,23
良田,22
收完,22
未来,22
农科院,22
污染,21
真是,21
偷笑,21
一斤,21
已经,20
现实,20
国家,20
景象,20
国防,19
自己,19
洒水车,19
他们,18
科技,18
人民,18
完美,18
不了,18
样子,18
写字楼,18
收麦,18
cbd,17
不种,17
一定,17
有点,17
这片,17
一片,17
秸秆,17
边上,17
麦地,17
一下,17
哪里,16
三环,16
不会,16
那么,16
南方,16
这些,16
好像,16
那个,16
插图,16
不用,16
对面,16
太美,16
看着,16
世纪,16
首歌,16
看见,15
竟然,15
可惜,15
大厦,15
记得,15
开始,15
估计,15
机械,15
广告,15
飞机,15
繁华,15
很多,15
钱江,15
那边,15
保留,15
平安,15
今天,14
一直,14
建设,14
种麦,14
确实,14
可能,14
那些,14
出来,14
农场,14
附近,14
上班,14
大片,14
